2,3-Diketogulonic Acid;D9.203.811.200;D9.811.200
Streptozocin;D9.203.408.51.900;D9.408.51.900
Strophanthins;D9.203.408.180.810;D9.408.180.810
Structural Homology, Protein;G6.184.580.709.805;G6.184.603.790.709.805
Strychnine;D3.132.820;D3.132.436.681.722
Strychnine;;D3.438.473.402.681.722
Subphrenic Abscess;C6.844.900;C6.844.640.500
Succinate Cytochrome c Oxidoreductase;;D5.500.562.750
Succinate Dehydrogenase;;D5.500.562.750.249.500
Sucralfate;D9.203.698.629.305.770.850;D9.698.629.305.770.850
Sucrase-Isomaltase Complex;;D5.500.562.875
Sucrose;D9.203.698.629.305.770;D9.698.629.305.770
Sucrose;D9.818.740;
Sugar Acids;D9.203.811;D9.811
Sugar Alcohols;D9.203.853;D9.853
Sugar Phosphates;D9.203.894;D9.894
Sulbactam;D2.65.589.875.812;D2.65.589.99.750.812
Sulbenicillin;D2.65.589.875.750.875;D2.65.589.99.750.750.875
Sulfinpyrazone;D3.383.694.700.800;D3.383.694.850.777.800
Sulfoglycosphingolipids;D9.203.400.410.420.25.837;D9.400.410.420.25.837
Sulfolobus acidocaldarius;B7.75.725.725.725.725;B7.75.725.725.725.70
Superfetation;G8.520.800.608;G8.520.769.525.608
Sweetening Agents;D9.818;
Symbolism;K1.419.899;K1.504.899
Synaptonemal Complex;G4.335.135.220.531.890;G4.335.134.220.220.875.500.299.500
Synaptonemal Complex;G5.105.531.890;G4.335.134.220.531.444.299.500
Synaptonemal Complex;G7.553.135.220.531.890;G4.335.233.750.500.220.875.500.299.500
Synaptonemal Complex;;G4.335.233.750.500.531.500.299.500
Synaptonemal Complex;;G5.105.220.875.500.299.500
Synaptonemal Complex;;G5.105.531.500.299.500
Synaptonemal Complex;;G7.382.374.220.220.875.500.299.500
Synaptonemal Complex;;G7.382.374.220.625.500.299.500
Synaptonemal Complex;;G7.382.843.750.500.220.875.500.299.500
Synaptonemal Complex;;G7.382.843.750.500.531.500.299.500
Synaptonemal Complex;;G7.574.249.410.750.500.220.875.500.299.500
Synaptonemal Complex;;G7.574.249.410.750.500.531.500.299.500
T-2 Toxin;;D4.345.891.870
Tacrolimus;;D4.345.349.810
Talampicillin;D2.65.589.875.750.50.900;D2.65.589.99.750.750.50.900
Tannins;D9.203.408.846;D5.750.78.937
Tape Recording;L1.178.147.846;J1.897.280.500.846
Tape Recording;;L1.178.820.90.846
Tartrates;D9.203.811.779;D9.811.779
Tartronates;D9.203.811.835;D9.811.835
Tattooing;E2.218.780;E2.218.85.840
Tattooing;;E4.85.840
Teaching Materials;I2.903.847;
Tedelparin;D9.203.698.373.400.300.900;D9.698.373.400.300.900
Teichoic Acids;D9.203.408.872;D9.408.872
Teichoic Acids;D9.203.698.718.825;D9.698.718.825
Teichoic Acids;D9.203.894.847;D9.894.847
Teicoplanin;D9.203.400.420.900;D9.400.420.900
Television;L1.178.147.898;J1.897.280.500.898
Television;;L1.178.590.875
Television;;L1.178.820.90.898
Telophase;G4.335.135.220.225.900;G4.335.134.220.220.937
Telophase;G5.105.225.900;G4.335.233.750.500.220.937
Telophase;G7.553.135.220.225.900;G5.105.220.937
Telophase;;G7.382.374.220.220.937
Telophase;;G7.382.843.750.500.220.937
Telophase;;G7.574.249.410.750.500.220.937
Temefos;D2.719.900;D2.705.539.900
Tenebrio;B1.500.131.617.155.304.615;B1.500.131.617.69.615
Teniposide;D9.203.408.348.800;D9.408.348.800
Tensile Strength;G7.900;
Tetracycline;D4.615.597.900.875;D4.615.562.900.875
Tetracyclines;D4.615.597.900;D4.615.562.900
Tetrapyrroles;;D4.345.783
Tetroses;D9.203.546.805;D9.546.805
Textbooks;I2.903.847.508;
Thanatophoric Dysplasia;C19.297.914;
Thecoma;C4.588.945.418.685.797;C19.344.410.765
Thecoma;C19.344.455.765;
Therapeutic Equivalency;;G6.535.780.559
Thienamycins;D2.65.589.225.300;D2.65.589.99.124.300
Thinness;C23.888.169.853;C23.888.144.828
Thinness;G7.553.481.398.828;E1.370.600.115.100.160.120.828
Thinness;;G7.290.100.160.120.828
Thinness;;G7.574.249.314.120.828
Thiogalactosides;D9.203.408.320.820;D9.408.320.820
Thiogalactosides;D9.203.408.903.600;D9.408.903.600
Thioglucosides;D9.203.408.348.820;D9.408.348.820
Thioglucosides;D9.203.408.903.703;D9.408.903.703
Thioglycosides;D9.203.408.903;D9.408.903
Thiophosphoric Acid Esters;D2.719.926;D2.705.539.926
Thiostrepton;;D4.345.566.825
Thiotepa;D2.719.950;D2.705.539.950
Thrombopoietin;D24.185.861;D12.776.395.240.750
Thrombopoietin;;D24.185.348.453.240.750
Thrombopoietin;;D24.611.350.400.442.240.750
Thymus Gland;A6.407.850;
Thymus Hyperplasia;C19.813;
Thymus Neoplasms;C4.588.322.831;
Thymus Neoplasms;C19.344.831;
Thyroid Nodule;C19.874.800;
Ticarcillin;D2.65.589.875.875;D2.65.589.99.750.875
Tinnitus;C10.597.751.383.800;C10.597.751.418.670
Tinnitus;C23.888.592.763.309.800;C23.888.592.763.393.670
Tissue Distribution;;G12.91.690.949
Tissue Engineering;E5.200.937.788;E5.200.249.750
Tobramycin;D9.203.408.51.476.600.800;D9.408.51.476.600.800
Tolazoline;D3.383.374.924;D3.383.374.436.750
Tolperisone;;D3.383.725.877
Tomatine;D9.203.408.934;D9.408.934
Toxiferine;D3.132.436.500.712;D3.132.436.255.712
Toxiferine;D3.438.473.402.500.712;D3.438.473.402.255.712
Tragacanth;D9.203.698.900;D5.750.78.968
Tragacanth;;D9.698.900
Trans-Splicing;;G6.535.839.700.750
Transcobalamins;;D4.345.783.437.777.900
Transducin;;D12.644.360.375.940
Transducin;;D12.776.476.375.940
Transfusion-Transmitted Virus;B4.280.910;B4.280.120.700
Transfusion-Transmitted Virus;B4.909.204.910;B4.909.204.120.700
Transfusion-Transmitted Virus;B4.970.910;
Translation, Genetic;G5.310.725;G5.310.670
Translation, Genetic;;G6.535.770.871
Trehalose;D9.203.698.365.900;D9.698.365.900
Trehalose;D9.203.698.629.305.880;D9.698.629.305.880
Tribolium;B1.500.131.617.155.304.799;B1.500.131.617.69.799
Trichodermin;;D4.345.891.900
Trichothecenes;;D4.345.891
Trihexosylceramides;D9.203.400.410.420.525.200.906;D9.400.410.420.525.200.906
Trioses;D9.203.546.894;D9.546.894
Triplets;G8.520.800.680;G8.520.769.525.680
Trisaccharides;D9.203.698.629.802;D9.698.629.802
Troleandomycin;D9.203.408.477.600.800;D4.345.349.600.800
Troleandomycin;;D9.408.477.600.800
Tropism;G7.950;G7.574.249.845
Troponin T;D24.185.101.825;
Tryptophan Hydroxylase;D8.811.682.580.870;D8.811.682.690.708.870
Tryptophan Oxygenase;D8.811.682.690.803;D8.811.682.690.416.722
Tuberculosis, Peritoneal;C1.252.410.40.552.846.854;C1.252.410.40.552.846.246
Tuberculosis, Peritoneal;C6.844.950;C6.844.640.249
Tubocurarine;D3.132.436.500.847;D3.132.436.255.847
Tubocurarine;D3.438.473.402.500.847;D3.438.473.402.255.847
Tubulin;;D5.750.78.734.800
Tumor Necrosis Factor;D24.185.926.235.930;D12.644.276.992.750
Tumor Necrosis Factor;;D12.776.467.968.750
Tumor Necrosis Factor;;D24.611.350.750.750
Turkeys;B1.150.900.248.617.872;B1.150.900.248.350.800
Turkeys;;B1.150.900.248.617.800
Twinning;G8.520.170.760;G8.520.170.104.875
Twins;G8.520.800.708;G8.520.769.525.847
Twins, Dizygotic;G8.520.800.708.800;G8.520.769.525.847.800
Twins, Monozygotic;G8.520.800.708.838;G8.520.769.525.847.838
Tylosin;D9.203.408.477.905;D4.345.349.905
Tylosin;;D9.408.477.905
Tymovirus;;B4.715.850.860
Tymovirus;;B4.820.900.850
Tyrosine 3-Monooxygenase;D8.811.682.580.923;D8.811.682.690.708.923
Uridine Diphosphate Galactose;D9.203.408.620.569.727.300;D9.408.620.569.727.300
Uridine Diphosphate Glucose;D9.203.408.620.569.727.350;D9.408.620.569.727.350
Uridine Diphosphate Glucuronic Acid;D9.203.408.620.569.727.375;D9.408.620.569.727.375
Uridine Diphosphate N-Acetylgalactosamine;D9.203.408.620.569.727.100;D9.408.620.569.727.100
Uridine Diphosphate N-Acetylglucosamine;D9.203.408.620.569.727.120;D9.408.620.569.727.120
Uridine Diphosphate N-Acetylmuramic Acid;D9.203.408.620.569.727.150;D9.408.620.569.727.150
Uridine Diphosphate Sugars;D9.203.408.620.569.727;D9.408.620.569.727
Uridine Diphosphate Xylose;D9.203.408.620.569.727.800;D9.408.620.569.727.800
Urobilin;;D4.345.783.249.727
Urobilinogen;;D4.345.783.249.852
Uronic Acids;D9.203.811.922;D9.811.922
Uroporphyrinogens;;D4.345.783.500.700.900
Uroporphyrins;;D4.345.783.500.880
User-Computer Interface;L1.700.568.810.910;L1.224.900.910
Valinomycin;D12.644.641.867;D4.345.566.297.500
Valinomycin;;D12.644.641.297.500
Vancomycin;D9.203.400.420.925;D9.400.420.925
Vernamycin B;;D4.345.566.802.812
Video Games;L1.700.568.810.930;L1.224.900.930
Videodisc Recording;L1.178.147.668.800;J1.897.280.500.668.800
Videodisc Recording;L1.178.147.898.800;J1.897.280.500.898.800
Videodisc Recording;;L1.178.590.875.800
Videodisc Recording;;L1.178.820.90.668.800
Videodisc Recording;;L1.178.820.90.898.800
Videotape Recording;L1.178.147.846.734;J1.897.280.500.846.734
Videotape Recording;L1.178.147.898.840;J1.897.280.500.898.840
Videotape Recording;;L1.178.590.875.840
Videotape Recording;;L1.178.820.90.846.734
Videotape Recording;;L1.178.820.90.898.840
Vimentin;;D5.750.78.593.900
Vinblastine;D3.132.436.875.650;D3.132.436.681.827.650
Vinblastine;D3.438.473.402.875.650;D3.438.473.402.681.827.650
Vinca Alkaloids;D3.132.436.875;D3.132.436.681.827
Vinca Alkaloids;D3.438.473.402.875;D3.438.473.402.681.827
Vincamine;D3.132.436.875.750;D3.132.436.681.827.750
Vincamine;D3.438.473.402.875.750;D3.438.473.402.681.827.750
Vincristine;D3.132.436.875.817;D3.132.436.681.827.817
Vincristine;D3.438.473.402.875.817;D3.438.473.402.681.827.817
Vindesine;D3.132.436.875.830;D3.132.436.681.827.830
Vindesine;D3.438.473.402.875.830;D3.438.473.402.681.827.830
Viomycin;;D4.345.566.875
Vipoma;;C4.588.322.421.500.750
Vipoma;;C19.344.421.500.750
Virginiamycin;;D4.345.566.802.875
Virilism;C19.391.922;C23.888.971
Virosomes;H1.181.529.530.900;D25.479.900
Virosomes;;J1.637.87.500.900
Vitamin B 12;;D4.345.783.437.777
Vitellogenesis;G7.553.196.650.249.880;G7.382.750.650.249.880
Vitellogenin;D12.776.256.317.925;D12.776.290.812.500
Vitellogenin;D12.776.290.925;
Walrus;B1.150.900.649.754.821;B1.150.900.649.147.600.821
Waterhouse-Friderichsen Syndrome;C19.53.904;C19.53.500.740
Weight Gain;G7.553.481.398.910;C23.888.144.243.926
Weight Gain;;G7.574.249.314.120.200.926
Weight Loss;G7.553.481.398.915;C23.888.144.243.963
Weight Loss;;G7.574.249.314.120.200.963
Wolfram Syndrome;C18.452.394.750.99.960;C18.452.394.750.124.960
Wolves;B1.150.900.649.147.925;B1.150.900.649.147.153.900
Wool;;A17.360.855
Word Processing;L1.700.508.300.680.708.950;L1.224.900.950
Word Processing;L1.700.568.810.950;
Xylans;D9.203.698.925;D9.698.925
Xylitol;D9.203.853.936;D9.853.936
Xylitol;D9.818.936;
Xylose;D9.203.546.627.867;D9.546.627.867
Xylulose;D9.203.546.465.920;D9.546.465.920
Xylulose;D9.203.546.627.885;D9.546.627.885
Yohimbine;D3.132.973.641.893;D3.132.436.681.933
Yohimbine;D3.549.937.641.868;D3.438.473.402.681.933
Yolk Sac;;A10.615.284.981
Yolk Sac;;A16.254.300.800
Zinc Fingers;G6.184.580.709.600.40.985;G6.184.603.790.709.600.40.985
Zollinger-Ellison Syndrome;C4.588.322.443.988;
Zollinger-Ellison Syndrome;C19.344.443.988;
Zollinger-Ellison Syndrome;C19.576.983;
Zymosan;D9.203.698.964;D9.698.365.89.750
